timestamp	statePostal	repVotes	demVotes	otherVotes	dem	repub
3344040	ME	360737	435072	23565	0.547	0.453
3106864	KS	771406	570323	30574	0.425	0.575
3101213	MO	1718736	1253014	53407	0.422	0.578
3079226	NJ	1883274	2608335	57744	0.581	0.419
3010718	GA	2461854	2473633	62229	0.501	0.499
2994847	MD	976414	1985023	55171	0.670	0.330
2860586	IL	2446891	3471915	114632	0.587	0.413
2760160	MS	756764	539398	17597	0.416	0.584
2757470	OR	958448	1340383	58401	0.583	0.417
2757091	NY	3251230	5244006	115841	0.617	0.383
2749603	NE	556846	374583	20283	0.402	0.598
2749464	CO	1364607	1804352	87993	0.569	0.431
2661553	WA	1584651	2369612	106116	0.599	0.401
2656569	NH	365660	424937	13236	0.537	0.463
2655624	TN	1852475	1143711	56803	0.382	0.618
2655101	IA	897672	759061	29801	0.458	0.542
2644905	CA	6005961	11109764	380101	0.649	0.351
2644772	MA	1167202	2382202	65671	0.671	0.329
2571758	DC	18586	317323	5310	0.945	0.055
2563123	WI	1610184	1630866	48896	0.503	0.497
2426133	MT	343602	244786	15252	0.416	0.584
2424371	AK	189951	153778	13840	0.447	0.553
2414816	AZ	1661686	1672143	51465	0.502	0.498
2401319	RI	199922	307486	7590	0.606	0.394
2389175	WV	545382	235984	13286	0.302	0.698
2163918	OH	3154834	2679165	86381	0.459	0.541
2148521	AR	760647	423932	34490	0.358	0.642
2148494	NV	669890	703486	32000	0.512	0.488
1985348	TX	5890347	5259126	159639	0.472	0.528
1977083	IN	1729516	1242413	59232	0.418	0.582
1975133	PA	3378263	3459923	79397	0.506	0.494
1971589	CT	715291	1080680	27765	0.602	0.398
1915259	NC	2758775	2684292	68422	0.493	0.507
1914537	NM	401894	501614	20457	0.555	0.445
1893246	MN	1484065	1717077	66064	0.536	0.464
1886387	UT	865140	560282	62255	0.393	0.607
1879094	VA	1962430	2413568	64761	0.552	0.448
1812446	MI	2649852	2804040	84320	0.514	0.486
1804214	AL	1441170	849624	25176	0.371	0.629
1555689	KY	1326646	772474	36316	0.368	0.632
1464995	HI	196864	366130	11475	0.650	0.350
1457064	LA	1255776	856034	36252	0.405	0.595
1280549	ID	554128	287031	26218	0.341	0.659
1271824	WY	193559	73491	7976	0.275	0.725
1271821	ND	235595	114902	9393	0.328	0.672
1271455	DE	200603	296268	7139	0.596	0.404
1271049	OK	1020280	503890	36529	0.331	0.669
1270319	VT	112704	242820	9962	0.683	0.317
1270316	SC	1385103	1091541	36685	0.441	0.559
1270316	SD	261043	150471	11095	0.366	0.634
1270312	FL	5668731	5297045	100625	0.483	0.517
