date	state
2020-07-16	Alabama
2020-07-20	Arkansas
2020-06-18	California
2020-07-17	Colorado
2020-04-20	Connecticut
2020-05-01	Delaware
2020-04-17	Hawaii
2020-05-01	Illinois
2020-07-27	Indiana
2020-11-17	Iowa
2020-07-03	Kansas
2020-11-18	Kansas
2020-07-10	Kentucky
2020-07-13	Louisiana
2020-04-13	Maine
2020-04-15	Maryland
2020-05-06	Massachusetts
2020-04-24	Michigan
2020-07-13	Michigan
2020-07-25	Minnesota
2020-10-01	Mississippi
2020-12-02	Mississippi
2020-07-15	Montana
2020-06-26	Nevada
2020-11-20	New Hampshire
2020-04-10	New Jersey
2020-07-08	New Jersey
2020-05-16	New Mexico
2020-04-15	New York
2020-06-26	North Carolina
2020-11-14	North Dakota
2020-07-08	Ohio
2020-07-23	Ohio
2020-07-01	Oregon
2020-07-13	Oregon
2020-07-01	Pennsylvania
2020-05-08	Rhode Island
2020-07-03	Texas
2020-11-09	Utah
2020-08-01	Vermont
2020-05-30	Virginia
2020-06-08	Washington
2020-07-06	West Virginia
2020-08-01	Wisconsin
2020-12-09	Wyoming
